,city,latitude,longitude,time dt,timezone,temperature,humidity_perc,cloudiness_perc,wind_speed
132,palanpur,24.17,72.44,1561595274,19800,86.66,66,100,7.63
133,zaraza,9.35,-65.33,1561595275,-14400,76.04,83,12,9.95
134,tecoanapa,16.99,-99.26,1561595276,-18000,86,74,75,3.36
135,diego+de+almagro,-26.39,-70.05,1561595278,-14400,46.16,84,0,1.52
136,vaini,15.34,74.49,1561594771,19800,78.02,89,85,2.59
137,atambua,-9.11,124.89,1561595280,28800,75.86,67,43,14.16
138,dunedin,-45.87,170.5,1561595281,43200,50.84,65,0,8.23
139,narsaq,60.91,-46.05,1561595283,-7200,48.2,87,90,6.93
140,ferrol,43.48,-8.23,1561595284,7200,61.09,88,29,2.39
142,ribeira+grande,38.52,-28.7,1561595286,0,65.24,75,56,16.73
143,ancud,-41.87,-73.83,1561595229,-14400,46.4,87,75,6.93
144,clonakilty,51.62,-8.87,1561595289,3600,61.27,82,20,17.22
145,flinders,-34.58,150.85,1561595290,36000,58.08,87,20,4.7
146,chabahar,25.29,60.65,1561595291,16200,78.92,88,0,1.03
147,ketchikan,55.34,-131.65,1561595021,-28800,79.7,41,1,17.22
149,weinan,34.5,109.46,1561595295,28800,69.8,100,90,13.42
150,troitsko-pechorsk,62.71,56.19,1561595296,10800,46.52,72,2,0.74
151,bathsheba,13.22,-59.52,1561595298,-14400,82.4,69,40,20.8
152,mehkar,20.15,76.57,1561595299,19800,80.72,72,51,7.07
153,bilma,18.69,12.92,1561595300,3600,88.82,21,26,2.8
154,charters+towers,-20.07,146.27,1561595301,36000,66.32,65,28,11.16
155,broome,52.47,1.45,1561595303,3600,55.35,82,52,10.29
156,vao,59.1,26.19,1561595232,10800,54.62,97,100,4.94
157,hithadhoo,-0.6,73.08,1561595225,18000,83.42,74,64,8.84
158,mar+del+plata,-46.43,-67.52,1561595306,-10800,38.42,73,78,10.47
160,las+vegas,36.17,-115.15,1561595026,-25200,95.43,9,20,16.11
161,saskylakh,71.97,114.09,1561595221,32400,52.64,74,93,17.05
162,carutapera,-1.2,-46.02,1561595311,-10800,77.12,89,97,5.77
163,eldorado,-24.52,-48.11,1561595313,-10800,61.82,99,100,2.73
164,luorong,24.41,109.6,1561595314,28800,81.62,83,99,3.76
165,vulcan,50.4,-113.26,1561595315,-21600,69.31,44,0,8.19
166,lata,30.78,78.62,1561595317,19800,35,70,30,2.39
167,vardo,39.62,-77.74,1561595318,-14400,81.66,48,1,10.29
168,mazagao,-0.12,-51.29,1561595319,-10800,82.4,94,0,4.7
169,ust-nera,64.57,143.24,1561595321,36000,67.22,30,48,10.18
170,namibe,-15.19,12.15,1561595322,3600,65.06,81,100,13.65
171,tocopilla,-22.09,-70.2,1561595323,-14400,58.76,83,99,10.22
172,grand+gaube,-20.01,57.66,1561595324,14400,73.2,94,75,10.29
173,tiruchchendur,8.48,78.12,1561595326,19800,84.2,70,20,5.14
174,souillac,45.6,-0.6,1561595237,7200,77.61,65,0,8.05
175,paamiut,61.99,-49.67,1561595328,-7200,40.58,100,100,5.75
176,kruisfontein,-34,24.73,1561595237,7200,53.18,87,23,4.83
177,xichang,27.88,102.25,1561595331,28800,61.28,95,100,1.54
178,fort+saint+james,54.43,-124.25,1561595332,-25200,71,39,63,4.05
179,kaman,39.36,33.73,1561595333,10800,67.76,60,0,6.22
180,darhan,49.49,105.92,1561595335,28800,54.44,70,87,8.39
181,fort+nelson,58.81,-122.69,1561595336,-25200,60.8,67,90,9.17
182,cidreira,-30.17,-50.22,1561595212,-10800,46.88,59,0,2.55
